carnet,nombre,carrera,departamento,promedio
EST030813,Estudiante 30813,Contaduría,San Miguel,7.64
EST030814,Estudiante 30814,Administración,Sonsonate,6.08
EST030815,Estudiante 30815,Ingeniería en Sistemas,San Salvador,7.93
EST030816,Estudiante 30816,Contaduría,San Salvador,6.83
EST030817,Estudiante 30817,Arquitectura,Sonsonate,8.16
EST030818,Estudiante 30818,Ingeniería en Sistemas,Santa Ana,5.29
EST030819,Estudiante 30819,Contaduría,San Miguel,5.89
EST030820,Estudiante 30820,Ingeniería en Sistemas,Sonsonate,8.7
EST030821,Estudiante 30821,Ingeniería Industrial,La Libertad,8.02
EST030822,Estudiante 30822,Ingeniería en Sistemas,San Miguel,8.06
EST030823,Estudiante 30823,Ingeniería Industrial,Sonsonate,6.15
EST030824,Estudiante 30824,Contaduría,Sonsonate,7.49
EST030825,Estudiante 30825,Arquitectura,La Libertad,6.29
EST030826,Estudiante 30826,Arquitectura,Santa Ana,9.86
EST030827,Estudiante 30827,Ingeniería Industrial,Santa Ana,5.73
EST030828,Estudiante 30828,Ingeniería Industrial,San Miguel,6.08
EST030829,Estudiante 30829,Arquitectura,Santa Ana,6.78
EST030830,Estudiante 30830,Ingeniería Industrial,San Salvador,6.84
EST030831,Estudiante 30831,Ingeniería en Sistemas,Sonsonate,7.11
EST030832,Estudiante 30832,Ingeniería Industrial,Sonsonate,5.23
EST030833,Estudiante 30833,Arquitectura,La Libertad,8.55
EST030834,Estudiante 30834,Administración,La Libertad,7.19
EST030835,Estudiante 30835,Arquitectura,Sonsonate,8.52
EST030836,Estudiante 30836,Ingeniería Industrial,Sonsonate,8.84
EST030837,Estudiante 30837,Arquitectura,Santa Ana,5.1
EST030838,Estudiante 30838,Ingeniería en Sistemas,Sonsonate,6.51
EST030839,Estudiante 30839,Arquitectura,Santa Ana,7.26
EST030840,Estudiante 30840,Ingeniería Industrial,Sonsonate,8.54
EST030841,Estudiante 30841,Administración,Santa Ana,9.27
EST030842,Estudiante 30842,Ingeniería Industrial,San Salvador,9.23
EST030843,Estudiante 30843,Ingeniería en Sistemas,Santa Ana,8.4
EST030844,Estudiante 30844,Administración,San Salvador,6.72
EST030845,Estudiante 30845,Contaduría,Sonsonate,5.14
EST030846,Estudiante 30846,Ingeniería en Sistemas,San Miguel,9.82
EST030847,Estudiante 30847,Ingeniería Industrial,Sonsonate,9.27
EST030848,Estudiante 30848,Administración,San Miguel,8.74
EST030849,Estudiante 30849,Contaduría,Santa Ana,6.04
EST030850,Estudiante 30850,Ingeniería en Sistemas,San Miguel,9.2
EST030851,Estudiante 30851,Administración,San Miguel,7.66
EST030852,Estudiante 30852,Administración,San Miguel,8.91
EST030853,Estudiante 30853,Contaduría,Santa Ana,6.26
EST030854,Estudiante 30854,Administración,Santa Ana,7.09
EST030855,Estudiante 30855,Ingeniería en Sistemas,Sonsonate,7.77
EST030856,Estudiante 30856,Administración,San Miguel,9.63
EST030857,Estudiante 30857,Ingeniería Industrial,Santa Ana,5.6
EST030858,Estudiante 30858,Administración,San Miguel,7.62
EST030859,Estudiante 30859,Administración,Sonsonate,8.4
EST030860,Estudiante 30860,Contaduría,San Miguel,6.23
EST030861,Estudiante 30861,Contaduría,Sonsonate,7.5
EST030862,Estudiante 30862,Administración,Sonsonate,5.67
EST030863,Estudiante 30863,Arquitectura,Sonsonate,6.18
EST030864,Estudiante 30864,Arquitectura,San Miguel,9.87
EST030865,Estudiante 30865,Arquitectura,La Libertad,7.49
EST030866,Estudiante 30866,Contaduría,San Miguel,7.77
EST030867,Estudiante 30867,Contaduría,San Miguel,6.43
EST030868,Estudiante 30868,Ingeniería en Sistemas,La Libertad,6.31
EST030869,Estudiante 30869,Contaduría,San Miguel,5.59
EST030870,Estudiante 30870,Ingeniería en Sistemas,San Miguel,9.38
EST030871,Estudiante 30871,Arquitectura,San Miguel,7.88
EST030872,Estudiante 30872,Arquitectura,Sonsonate,6.35
EST030873,Estudiante 30873,Contaduría,La Libertad,7.52
EST030874,Estudiante 30874,Ingeniería en Sistemas,San Salvador,7.23
EST030875,Estudiante 30875,Ingeniería en Sistemas,Santa Ana,8.36
EST030876,Estudiante 30876,Arquitectura,San Miguel,5.65
EST030877,Estudiante 30877,Administración,San Salvador,9.25
EST030878,Estudiante 30878,Administración,La Libertad,8.47
EST030879,Estudiante 30879,Ingeniería en Sistemas,San Salvador,8.38
EST030880,Estudiante 30880,Arquitectura,San Miguel,5.14
EST030881,Estudiante 30881,Contaduría,San Salvador,6.15
EST030882,Estudiante 30882,Arquitectura,Sonsonate,8.22
EST030883,Estudiante 30883,Ingeniería en Sistemas,Santa Ana,5.11
EST030884,Estudiante 30884,Arquitectura,San Salvador,9.48
EST030885,Estudiante 30885,Contaduría,Santa Ana,5.49
EST030886,Estudiante 30886,Ingeniería Industrial,Santa Ana,5.52
EST030887,Estudiante 30887,Arquitectura,Santa Ana,8.71
EST030888,Estudiante 30888,Contaduría,San Salvador,5.2
EST030889,Estudiante 30889,Ingeniería en Sistemas,Santa Ana,9.97
EST030890,Estudiante 30890,Arquitectura,La Libertad,9.09
EST030891,Estudiante 30891,Ingeniería Industrial,La Libertad,5.24
EST030892,Estudiante 30892,Contaduría,Sonsonate,9.17
EST030893,Estudiante 30893,Ingeniería Industrial,La Libertad,8.85
EST030894,Estudiante 30894,Ingeniería en Sistemas,San Miguel,9.72
EST030895,Estudiante 30895,Administración,Santa Ana,8.35
EST030896,Estudiante 30896,Arquitectura,Santa Ana,9.14
EST030897,Estudiante 30897,Contaduría,Santa Ana,9.19
EST030898,Estudiante 30898,Arquitectura,San Salvador,5.04
EST030899,Estudiante 30899,Administración,Sonsonate,5.99
EST030900,Estudiante 30900,Ingeniería en Sistemas,Santa Ana,8.71
EST030901,Estudiante 30901,Ingeniería en Sistemas,La Libertad,6.19
EST030902,Estudiante 30902,Arquitectura,San Miguel,7.74
EST030903,Estudiante 30903,Ingeniería en Sistemas,San Salvador,8.84
EST030904,Estudiante 30904,Ingeniería en Sistemas,San Miguel,5.66
EST030905,Estudiante 30905,Arquitectura,San Salvador,8.49
EST030906,Estudiante 30906,Administración,La Libertad,5.0
EST030907,Estudiante 30907,Ingeniería en Sistemas,La Libertad,7.52
EST030908,Estudiante 30908,Ingeniería en Sistemas,Sonsonate,5.12
EST030909,Estudiante 30909,Arquitectura,San Miguel,8.99
EST030910,Estudiante 30910,Ingeniería Industrial,La Libertad,8.05
EST030911,Estudiante 30911,Administración,La Libertad,9.22
EST030912,Estudiante 30912,Ingeniería en Sistemas,Sonsonate,9.11
EST030913,Estudiante 30913,Contaduría,La Libertad,5.32
EST030914,Estudiante 30914,Ingeniería en Sistemas,La Libertad,7.12
EST030915,Estudiante 30915,Administración,La Libertad,6.05
EST030916,Estudiante 30916,Ingeniería en Sistemas,San Miguel,6.88
EST030917,Estudiante 30917,Arquitectura,San Salvador,8.83
EST030918,Estudiante 30918,Ingeniería en Sistemas,Santa Ana,9.49
EST030919,Estudiante 30919,Administración,La Libertad,8.48
EST030920,Estudiante 30920,Ingeniería en Sistemas,San Miguel,7.8
EST030921,Estudiante 30921,Arquitectura,La Libertad,5.37
EST030922,Estudiante 30922,Arquitectura,Sonsonate,7.77
EST030923,Estudiante 30923,Arquitectura,Sonsonate,9.65
EST030924,Estudiante 30924,Ingeniería Industrial,La Libertad,7.1
EST030925,Estudiante 30925,Ingeniería en Sistemas,La Libertad,8.44
EST030926,Estudiante 30926,Contaduría,San Miguel,6.29
EST030927,Estudiante 30927,Ingeniería Industrial,Sonsonate,8.35
EST030928,Estudiante 30928,Arquitectura,Santa Ana,9.0
EST030929,Estudiante 30929,Contaduría,San Salvador,5.2
EST030930,Estudiante 30930,Ingeniería en Sistemas,San Miguel,9.31
EST030931,Estudiante 30931,Ingeniería Industrial,San Salvador,6.27
EST030932,Estudiante 30932,Administración,San Miguel,9.11
EST030933,Estudiante 30933,Arquitectura,Sonsonate,9.02
EST030934,Estudiante 30934,Contaduría,La Libertad,8.19
EST030935,Estudiante 30935,Contaduría,San Salvador,7.08
EST030936,Estudiante 30936,Contaduría,Santa Ana,7.8
EST030937,Estudiante 30937,Ingeniería en Sistemas,San Salvador,8.47
EST030938,Estudiante 30938,Administración,Sonsonate,8.94
EST030939,Estudiante 30939,Ingeniería Industrial,San Salvador,7.93
EST030940,Estudiante 30940,Ingeniería en Sistemas,Santa Ana,5.9
EST030941,Estudiante 30941,Contaduría,Sonsonate,8.06
EST030942,Estudiante 30942,Contaduría,La Libertad,7.19
EST030943,Estudiante 30943,Administración,San Salvador,7.78
EST030944,Estudiante 30944,Contaduría,San Miguel,6.49
EST030945,Estudiante 30945,Contaduría,San Salvador,6.85
EST030946,Estudiante 30946,Contaduría,La Libertad,5.59
EST030947,Estudiante 30947,Arquitectura,La Libertad,9.22
EST030948,Estudiante 30948,Ingeniería en Sistemas,San Salvador,8.52
EST030949,Estudiante 30949,Contaduría,Sonsonate,6.99
EST030950,Estudiante 30950,Contaduría,La Libertad,8.21
EST030951,Estudiante 30951,Ingeniería Industrial,San Salvador,6.25
EST030952,Estudiante 30952,Contaduría,La Libertad,7.24
EST030953,Estudiante 30953,Contaduría,Santa Ana,8.06
EST030954,Estudiante 30954,Arquitectura,Santa Ana,7.05
EST030955,Estudiante 30955,Ingeniería en Sistemas,La Libertad,5.05
EST030956,Estudiante 30956,Ingeniería Industrial,Santa Ana,8.09
EST030957,Estudiante 30957,Arquitectura,San Miguel,8.35
EST030958,Estudiante 30958,Ingeniería en Sistemas,San Salvador,5.04
EST030959,Estudiante 30959,Contaduría,Sonsonate,8.64
EST030960,Estudiante 30960,Administración,Santa Ana,9.48
EST030961,Estudiante 30961,Ingeniería en Sistemas,San Salvador,6.89
EST030962,Estudiante 30962,Administración,La Libertad,7.87
EST030963,Estudiante 30963,Administración,San Salvador,5.17
EST030964,Estudiante 30964,Ingeniería en Sistemas,San Miguel,8.49
EST030965,Estudiante 30965,Ingeniería Industrial,La Libertad,5.75
EST030966,Estudiante 30966,Administración,San Miguel,7.46
EST030967,Estudiante 30967,Arquitectura,Santa Ana,9.68
EST030968,Estudiante 30968,Administración,Santa Ana,9.04
EST030969,Estudiante 30969,Ingeniería Industrial,Sonsonate,7.84
EST030970,Estudiante 30970,Ingeniería Industrial,Sonsonate,7.02
EST030971,Estudiante 30971,Contaduría,La Libertad,5.11
EST030972,Estudiante 30972,Ingeniería en Sistemas,San Miguel,9.56
EST030973,Estudiante 30973,Ingeniería en Sistemas,Santa Ana,5.42
EST030974,Estudiante 30974,Arquitectura,San Miguel,9.49
EST030975,Estudiante 30975,Ingeniería Industrial,San Miguel,8.51
EST030976,Estudiante 30976,Administración,La Libertad,7.79
EST030977,Estudiante 30977,Administración,La Libertad,7.66
EST030978,Estudiante 30978,Administración,La Libertad,6.53
EST030979,Estudiante 30979,Administración,San Miguel,8.08
EST030980,Estudiante 30980,Ingeniería Industrial,San Salvador,6.64
EST030981,Estudiante 30981,Contaduría,Sonsonate,8.27
EST030982,Estudiante 30982,Contaduría,La Libertad,5.29
EST030983,Estudiante 30983,Contaduría,Santa Ana,7.83
EST030984,Estudiante 30984,Ingeniería en Sistemas,San Miguel,6.06
EST030985,Estudiante 30985,Arquitectura,Santa Ana,9.68
EST030986,Estudiante 30986,Contaduría,Sonsonate,8.68
EST030987,Estudiante 30987,Contaduría,Sonsonate,5.65
EST030988,Estudiante 30988,Administración,Santa Ana,9.98
EST030989,Estudiante 30989,Ingeniería Industrial,Santa Ana,6.79
EST030990,Estudiante 30990,Ingeniería en Sistemas,San Miguel,8.81
EST030991,Estudiante 30991,Contaduría,San Miguel,6.91
EST030992,Estudiante 30992,Arquitectura,Santa Ana,5.89
EST030993,Estudiante 30993,Arquitectura,San Miguel,6.7
EST030994,Estudiante 30994,Arquitectura,La Libertad,9.74
EST030995,Estudiante 30995,Ingeniería en Sistemas,Santa Ana,5.51
EST030996,Estudiante 30996,Contaduría,Santa Ana,8.08
EST030997,Estudiante 30997,Ingeniería en Sistemas,Santa Ana,5.56
EST030998,Estudiante 30998,Ingeniería Industrial,San Miguel,7.15
EST030999,Estudiante 30999,Administración,La Libertad,5.35
EST031000,Estudiante 31000,Ingeniería en Sistemas,La Libertad,7.74
EST031001,Estudiante 31001,Ingeniería Industrial,San Salvador,7.29
EST031002,Estudiante 31002,Contaduría,San Salvador,5.71
EST031003,Estudiante 31003,Contaduría,San Salvador,5.15
EST031004,Estudiante 31004,Ingeniería en Sistemas,Santa Ana,9.93
EST031005,Estudiante 31005,Contaduría,La Libertad,9.49
EST031006,Estudiante 31006,Administración,La Libertad,5.18
EST031007,Estudiante 31007,Ingeniería en Sistemas,Sonsonate,5.06
EST031008,Estudiante 31008,Administración,Sonsonate,9.22
EST031009,Estudiante 31009,Ingeniería en Sistemas,Santa Ana,5.66
EST031010,Estudiante 31010,Arquitectura,San Miguel,9.06
EST031011,Estudiante 31011,Contaduría,Santa Ana,5.49
EST031012,Estudiante 31012,Administración,San Miguel,9.63
EST031013,Estudiante 31013,Contaduría,Santa Ana,9.59
EST031014,Estudiante 31014,Administración,La Libertad,9.17
EST031015,Estudiante 31015,Administración,La Libertad,7.61
EST031016,Estudiante 31016,Arquitectura,Santa Ana,6.77
EST031017,Estudiante 31017,Ingeniería en Sistemas,La Libertad,8.25
EST031018,Estudiante 31018,Contaduría,Sonsonate,5.32
EST031019,Estudiante 31019,Arquitectura,La Libertad,8.39
EST031020,Estudiante 31020,Contaduría,Sonsonate,5.71
EST031021,Estudiante 31021,Administración,San Miguel,6.04
EST031022,Estudiante 31022,Ingeniería en Sistemas,Sonsonate,6.79
EST031023,Estudiante 31023,Administración,Santa Ana,7.92
EST031024,Estudiante 31024,Administración,Santa Ana,5.29
EST031025,Estudiante 31025,Administración,San Salvador,9.4
EST031026,Estudiante 31026,Contaduría,San Salvador,6.05
EST031027,Estudiante 31027,Contaduría,San Salvador,6.44
EST031028,Estudiante 31028,Contaduría,La Libertad,9.17
EST031029,Estudiante 31029,Ingeniería en Sistemas,San Miguel,8.73
EST031030,Estudiante 31030,Contaduría,San Salvador,5.52
EST031031,Estudiante 31031,Ingeniería Industrial,San Salvador,9.97
EST031032,Estudiante 31032,Ingeniería en Sistemas,Santa Ana,6.59
EST031033,Estudiante 31033,Contaduría,Sonsonate,5.04
EST031034,Estudiante 31034,Administración,Sonsonate,8.64
EST031035,Estudiante 31035,Contaduría,La Libertad,6.16
EST031036,Estudiante 31036,Ingeniería en Sistemas,La Libertad,7.89
EST031037,Estudiante 31037,Ingeniería Industrial,San Miguel,5.44
EST031038,Estudiante 31038,Contaduría,Santa Ana,9.77
EST031039,Estudiante 31039,Arquitectura,Santa Ana,6.68
EST031040,Estudiante 31040,Ingeniería en Sistemas,Sonsonate,9.02
EST031041,Estudiante 31041,Administración,La Libertad,5.31
EST031042,Estudiante 31042,Arquitectura,San Salvador,8.34
EST031043,Estudiante 31043,Contaduría,La Libertad,5.92
EST031044,Estudiante 31044,Arquitectura,San Miguel,8.75
EST031045,Estudiante 31045,Arquitectura,Santa Ana,5.35
EST031046,Estudiante 31046,Contaduría,San Salvador,8.04
EST031047,Estudiante 31047,Ingeniería en Sistemas,San Miguel,9.32
EST031048,Estudiante 31048,Contaduría,Santa Ana,9.12
EST031049,Estudiante 31049,Arquitectura,La Libertad,5.28
EST031050,Estudiante 31050,Ingeniería en Sistemas,La Libertad,5.55
EST031051,Estudiante 31051,Arquitectura,San Salvador,7.38
EST031052,Estudiante 31052,Arquitectura,San Salvador,6.17
EST031053,Estudiante 31053,Arquitectura,San Salvador,6.69
EST031054,Estudiante 31054,Ingeniería en Sistemas,La Libertad,8.57
EST031055,Estudiante 31055,Administración,Sonsonate,8.58
EST031056,Estudiante 31056,Contaduría,Santa Ana,5.18
EST031057,Estudiante 31057,Administración,San Miguel,6.45
EST031058,Estudiante 31058,Ingeniería en Sistemas,San Miguel,8.45
EST031059,Estudiante 31059,Ingeniería en Sistemas,San Miguel,7.8
EST031060,Estudiante 31060,Contaduría,La Libertad,8.9
EST031061,Estudiante 31061,Contaduría,Santa Ana,8.16
EST031062,Estudiante 31062,Administración,San Salvador,5.55
EST031063,Estudiante 31063,Ingeniería en Sistemas,San Salvador,8.86
EST031064,Estudiante 31064,Administración,San Salvador,5.61
EST031065,Estudiante 31065,Contaduría,San Miguel,9.96
EST031066,Estudiante 31066,Arquitectura,San Miguel,7.73
EST031067,Estudiante 31067,Ingeniería Industrial,San Miguel,9.86
EST031068,Estudiante 31068,Arquitectura,La Libertad,9.4
EST031069,Estudiante 31069,Ingeniería Industrial,Santa Ana,6.9
EST031070,Estudiante 31070,Contaduría,La Libertad,6.44
EST031071,Estudiante 31071,Arquitectura,San Salvador,5.73
EST031072,Estudiante 31072,Contaduría,Sonsonate,6.43
EST031073,Estudiante 31073,Administración,San Salvador,5.52
EST031074,Estudiante 31074,Administración,La Libertad,9.02
EST031075,Estudiante 31075,Contaduría,La Libertad,9.23
EST031076,Estudiante 31076,Contaduría,San Salvador,5.02
EST031077,Estudiante 31077,Contaduría,San Salvador,8.19
EST031078,Estudiante 31078,Arquitectura,Sonsonate,8.96
EST031079,Estudiante 31079,Ingeniería Industrial,Sonsonate,7.85
EST031080,Estudiante 31080,Ingeniería en Sistemas,Sonsonate,7.51
EST031081,Estudiante 31081,Ingeniería en Sistemas,Sonsonate,6.3
EST031082,Estudiante 31082,Contaduría,Sonsonate,5.65
EST031083,Estudiante 31083,Contaduría,Sonsonate,5.99
EST031084,Estudiante 31084,Arquitectura,San Miguel,7.45
EST031085,Estudiante 31085,Administración,Sonsonate,9.88
EST031086,Estudiante 31086,Administración,La Libertad,9.55
EST031087,Estudiante 31087,Contaduría,Santa Ana,8.36
EST031088,Estudiante 31088,Administración,Sonsonate,8.7
EST031089,Estudiante 31089,Contaduría,Sonsonate,9.1
EST031090,Estudiante 31090,Arquitectura,San Salvador,7.78
EST031091,Estudiante 31091,Contaduría,Sonsonate,7.85
EST031092,Estudiante 31092,Administración,San Salvador,5.72
EST031093,Estudiante 31093,Arquitectura,San Miguel,8.6
EST031094,Estudiante 31094,Ingeniería Industrial,San Salvador,7.15
EST031095,Estudiante 31095,Ingeniería en Sistemas,Santa Ana,5.78
EST031096,Estudiante 31096,Ingeniería en Sistemas,Santa Ana,6.01
EST031097,Estudiante 31097,Contaduría,Santa Ana,7.59
EST031098,Estudiante 31098,Administración,La Libertad,9.54
EST031099,Estudiante 31099,Ingeniería en Sistemas,La Libertad,5.1
EST031100,Estudiante 31100,Administración,Santa Ana,5.99
EST031101,Estudiante 31101,Administración,La Libertad,8.12
EST031102,Estudiante 31102,Ingeniería en Sistemas,San Salvador,8.94
EST031103,Estudiante 31103,Arquitectura,La Libertad,5.09
EST031104,Estudiante 31104,Contaduría,San Salvador,5.76
EST031105,Estudiante 31105,Ingeniería en Sistemas,Santa Ana,5.76
EST031106,Estudiante 31106,Contaduría,Santa Ana,7.2
EST031107,Estudiante 31107,Ingeniería Industrial,Sonsonate,7.57
EST031108,Estudiante 31108,Ingeniería en Sistemas,Sonsonate,6.33
EST031109,Estudiante 31109,Arquitectura,La Libertad,9.6
EST031110,Estudiante 31110,Contaduría,Sonsonate,5.36
EST031111,Estudiante 31111,Contaduría,San Miguel,9.26
EST031112,Estudiante 31112,Ingeniería Industrial,San Miguel,9.26
EST031113,Estudiante 31113,Administración,Sonsonate,6.89
EST031114,Estudiante 31114,Ingeniería en Sistemas,La Libertad,7.41
EST031115,Estudiante 31115,Administración,San Miguel,7.18
EST031116,Estudiante 31116,Contaduría,San Salvador,5.99
EST031117,Estudiante 31117,Administración,San Miguel,5.71
EST031118,Estudiante 31118,Ingeniería en Sistemas,Sonsonate,6.7
EST031119,Estudiante 31119,Administración,La Libertad,6.37
EST031120,Estudiante 31120,Ingeniería en Sistemas,San Miguel,8.47
EST031121,Estudiante 31121,Ingeniería en Sistemas,Sonsonate,5.48
EST031122,Estudiante 31122,Administración,San Salvador,8.02
EST031123,Estudiante 31123,Ingeniería Industrial,San Miguel,5.95
EST031124,Estudiante 31124,Contaduría,La Libertad,8.43
EST031125,Estudiante 31125,Contaduría,San Salvador,6.24
EST031126,Estudiante 31126,Administración,San Miguel,5.98
EST031127,Estudiante 31127,Arquitectura,Santa Ana,6.13
EST031128,Estudiante 31128,Ingeniería Industrial,Sonsonate,9.97
EST031129,Estudiante 31129,Arquitectura,Santa Ana,5.14
EST031130,Estudiante 31130,Arquitectura,Sonsonate,5.73
EST031131,Estudiante 31131,Administración,San Miguel,7.34
EST031132,Estudiante 31132,Ingeniería Industrial,La Libertad,8.94
EST031133,Estudiante 31133,Contaduría,San Salvador,9.82
EST031134,Estudiante 31134,Arquitectura,Santa Ana,8.37
EST031135,Estudiante 31135,Administración,La Libertad,9.81
EST031136,Estudiante 31136,Ingeniería Industrial,Sonsonate,9.15
EST031137,Estudiante 31137,Ingeniería en Sistemas,Sonsonate,6.47
EST031138,Estudiante 31138,Ingeniería en Sistemas,La Libertad,6.61
EST031139,Estudiante 31139,Ingeniería Industrial,La Libertad,9.89
EST031140,Estudiante 31140,Arquitectura,Santa Ana,6.39
EST031141,Estudiante 31141,Arquitectura,San Salvador,6.74
EST031142,Estudiante 31142,Ingeniería Industrial,La Libertad,9.33
EST031143,Estudiante 31143,Ingeniería en Sistemas,Santa Ana,8.87
EST031144,Estudiante 31144,Administración,San Salvador,8.91
EST031145,Estudiante 31145,Arquitectura,San Miguel,7.13
EST031146,Estudiante 31146,Arquitectura,San Miguel,6.3
EST031147,Estudiante 31147,Ingeniería Industrial,Santa Ana,9.45
EST031148,Estudiante 31148,Administración,Sonsonate,8.11
EST031149,Estudiante 31149,Administración,Santa Ana,9.43
EST031150,Estudiante 31150,Ingeniería Industrial,Sonsonate,9.7
EST031151,Estudiante 31151,Contaduría,Santa Ana,9.27
EST031152,Estudiante 31152,Ingeniería Industrial,La Libertad,5.84
EST031153,Estudiante 31153,Administración,San Salvador,8.88
EST031154,Estudiante 31154,Arquitectura,Sonsonate,7.99
EST031155,Estudiante 31155,Administración,San Miguel,6.97
EST031156,Estudiante 31156,Ingeniería en Sistemas,Sonsonate,5.76
EST031157,Estudiante 31157,Administración,La Libertad,9.35
EST031158,Estudiante 31158,Contaduría,San Salvador,8.67
EST031159,Estudiante 31159,Contaduría,La Libertad,5.83
EST031160,Estudiante 31160,Ingeniería en Sistemas,Sonsonate,5.19
EST031161,Estudiante 31161,Arquitectura,Sonsonate,8.92
EST031162,Estudiante 31162,Ingeniería en Sistemas,Sonsonate,8.94
EST031163,Estudiante 31163,Arquitectura,Sonsonate,5.49
EST031164,Estudiante 31164,Contaduría,Sonsonate,6.49
EST031165,Estudiante 31165,Ingeniería Industrial,San Miguel,8.22
EST031166,Estudiante 31166,Ingeniería en Sistemas,La Libertad,6.04
EST031167,Estudiante 31167,Ingeniería Industrial,San Miguel,9.54
EST031168,Estudiante 31168,Ingeniería en Sistemas,Santa Ana,5.88
EST031169,Estudiante 31169,Arquitectura,Sonsonate,8.55
EST031170,Estudiante 31170,Arquitectura,San Salvador,5.96
EST031171,Estudiante 31171,Contaduría,San Miguel,7.8
EST031172,Estudiante 31172,Ingeniería Industrial,Santa Ana,9.43
EST031173,Estudiante 31173,Ingeniería en Sistemas,San Miguel,8.74
EST031174,Estudiante 31174,Administración,Santa Ana,7.7
EST031175,Estudiante 31175,Ingeniería Industrial,Santa Ana,5.59
EST031176,Estudiante 31176,Administración,San Salvador,6.0
EST031177,Estudiante 31177,Arquitectura,San Salvador,5.94
EST031178,Estudiante 31178,Arquitectura,Santa Ana,7.05
EST031179,Estudiante 31179,Ingeniería en Sistemas,La Libertad,5.83
EST031180,Estudiante 31180,Administración,Sonsonate,6.08
EST031181,Estudiante 31181,Ingeniería Industrial,San Miguel,6.74
EST031182,Estudiante 31182,Ingeniería Industrial,La Libertad,6.46
EST031183,Estudiante 31183,Ingeniería en Sistemas,Santa Ana,9.03
EST031184,Estudiante 31184,Ingeniería en Sistemas,San Salvador,9.01
EST031185,Estudiante 31185,Contaduría,La Libertad,9.22
EST031186,Estudiante 31186,Administración,Sonsonate,8.9
EST031187,Estudiante 31187,Ingeniería en Sistemas,Santa Ana,7.83
EST031188,Estudiante 31188,Arquitectura,San Miguel,7.53
EST031189,Estudiante 31189,Ingeniería Industrial,Santa Ana,9.22
EST031190,Estudiante 31190,Ingeniería Industrial,La Libertad,7.28
EST031191,Estudiante 31191,Arquitectura,San Miguel,7.71
EST031192,Estudiante 31192,Ingeniería Industrial,Sonsonate,6.72
EST031193,Estudiante 31193,Arquitectura,San Salvador,5.72
EST031194,Estudiante 31194,Ingeniería Industrial,La Libertad,6.75
EST031195,Estudiante 31195,Contaduría,San Salvador,9.3
EST031196,Estudiante 31196,Contaduría,La Libertad,9.51
EST031197,Estudiante 31197,Administración,San Salvador,6.1
EST031198,Estudiante 31198,Administración,San Salvador,6.74
EST031199,Estudiante 31199,Contaduría,San Salvador,7.72
EST031200,Estudiante 31200,Ingeniería Industrial,San Miguel,8.52
EST031201,Estudiante 31201,Arquitectura,San Salvador,9.66
EST031202,Estudiante 31202,Contaduría,Sonsonate,9.28
EST031203,Estudiante 31203,Ingeniería en Sistemas,San Salvador,9.1
EST031204,Estudiante 31204,Ingeniería en Sistemas,La Libertad,9.29
EST031205,Estudiante 31205,Administración,San Salvador,5.56
EST031206,Estudiante 31206,Administración,La Libertad,7.78
EST031207,Estudiante 31207,Administración,Sonsonate,8.19
EST031208,Estudiante 31208,Contaduría,San Miguel,9.73
EST031209,Estudiante 31209,Ingeniería Industrial,San Salvador,8.27
EST031210,Estudiante 31210,Ingeniería Industrial,San Miguel,8.48
EST031211,Estudiante 31211,Ingeniería en Sistemas,Sonsonate,6.6
EST031212,Estudiante 31212,Contaduría,Santa Ana,9.75
EST031213,Estudiante 31213,Ingeniería en Sistemas,San Miguel,8.43
EST031214,Estudiante 31214,Arquitectura,Santa Ana,7.76
EST031215,Estudiante 31215,Ingeniería Industrial,San Salvador,9.13
EST031216,Estudiante 31216,Ingeniería Industrial,San Miguel,8.68
EST031217,Estudiante 31217,Ingeniería Industrial,San Miguel,7.98
EST031218,Estudiante 31218,Ingeniería Industrial,San Miguel,5.91
EST031219,Estudiante 31219,Contaduría,San Salvador,8.48
EST031220,Estudiante 31220,Contaduría,Sonsonate,9.44
EST031221,Estudiante 31221,Ingeniería en Sistemas,San Miguel,9.61
EST031222,Estudiante 31222,Administración,Sonsonate,5.43
EST031223,Estudiante 31223,Ingeniería Industrial,San Miguel,9.47
EST031224,Estudiante 31224,Arquitectura,Santa Ana,9.17
EST031225,Estudiante 31225,Arquitectura,San Salvador,8.48
EST031226,Estudiante 31226,Ingeniería Industrial,San Miguel,5.52
EST031227,Estudiante 31227,Administración,La Libertad,9.78
EST031228,Estudiante 31228,Contaduría,La Libertad,5.21
EST031229,Estudiante 31229,Administración,Santa Ana,9.08
EST031230,Estudiante 31230,Administración,San Salvador,5.71
EST031231,Estudiante 31231,Administración,Santa Ana,5.86
EST031232,Estudiante 31232,Arquitectura,Santa Ana,5.13
EST031233,Estudiante 31233,Ingeniería en Sistemas,La Libertad,5.26
EST031234,Estudiante 31234,Administración,San Salvador,5.95
EST031235,Estudiante 31235,Ingeniería en Sistemas,La Libertad,6.68
EST031236,Estudiante 31236,Administración,La Libertad,6.63
EST031237,Estudiante 31237,Ingeniería en Sistemas,San Miguel,8.96
EST031238,Estudiante 31238,Contaduría,La Libertad,5.84
EST031239,Estudiante 31239,Contaduría,San Salvador,7.97
EST031240,Estudiante 31240,Administración,Santa Ana,8.27
EST031241,Estudiante 31241,Administración,Sonsonate,8.54
EST031242,Estudiante 31242,Contaduría,La Libertad,9.09
